author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i,clusters,quality_rating
Arun Thomas,0.0,155.0,2,1,11789.0,6633.0,508.0,240.0,15.7,5227.0,9.0,783.0,2211.0,1910.0,314.0,5227.0,4.0,5099.0,88.0,5.0,40.0,4.0,696.0,31.5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Asankha Chamath Perera,0.0,239.6379310344828,58,2,5492.375,4195.1875,693.0625,116.6875,13.39375,2033.875,1.625,429.4375,970.9375,604.1875,27.6875,2033.875,3.518749999999999,2008.9375,6.625,4.0625,18.3125,4.0,428.1875,16.950000000000003,16,2,15.0,804.0,0.0,3.0,0.0,8.0,3.0,0.0,14.0,1.0,Excellent programming skills,0.9006647723487679
Ashish Thusoo,0.0,220.53093525179852,695,1,15080.0,13257.38,1270.44,76.96,16.874000000000002,9124.1,101.18,383.04,3593.8,4196.38,849.7,9124.1,4.575999999999996,8466.74,246.44,5.0,410.92,4.0,555.04,12.438000000000002,50,1,13.358695652173912,11671.0,1.0,14.0,2.0,86.0,81.0,0.0489130434782608,184.0,1.0,Excellent programming skills,0.9006647723487679
Ashutosh Chauhan,0.0,213.81230388894173,21034,1,94042.49858088933,78842.89120151372,4959.344370860928,602.5894039735099,18.268401135288546,38346.95175023652,236.0094607379376,1749.6452223273416,14154.811731315043,21328.34626300852,878.1390728476821,38346.95175023652,3.2356669820245907,36880.35288552507,786.5449385052034,5.0,680.0539262062441,4.0,2367.25449385052,9.764995269631097,1057,1,27.860098582121346,1239546.0,143.0,780.0,25.0,8423.0,7062.0,0.0775269275238848,16433.0,1.0,Extremely bad programming skills,0.17516783439468797
Benedikt Ritter,0.0,216.70114170584284,2978,14,3673.557416267943,2610.648325358852,206.2846889952153,42.03349282296651,10.399760765550244,1810.921052631579,57.61004784688996,205.73205741626796,707.4976076555024,771.7535885167464,68.32775119617224,1810.921052631579,4.259090909090915,1755.8325358851675,25.595693779904305,4.016746411483253,29.492822966507177,3.473684210526316,210.07894736842104,28.21507177033494,418,13,9.21656050955414,25457.0,1.0,7.0,0.0,122.0,27.0,0.0,157.0,9.0,Excellent programming skills,0.9689975625798763
Benjamin Speakmon,0.0,199.4558823529412,68,1,1974.981132075472,1201.7924528301887,215.377358490566,32.867924528301884,10.458490566037735,725.188679245283,0.0,73.66037735849056,309.8301886792453,323.0943396226415,18.60377358490566,725.188679245283,4.033962264150942,687.7358490566038,15.943396226415096,4.0,21.50943396226415,3.0,125.05660377358492,36.16792452830187,53,1,26.846153846153847,2682.0,0.0,2.0,0.0,33.0,17.0,0.0,52.0,1.0,Excellent programming skills,0.9551698306766678
Benson Margulies,0.0,160.5,60,2,4325.375,2804.25,222.0,44.0,7.299999999999999,1923.875,4.0,428.0,744.0,678.875,69.0,1923.875,3.5,1881.875,35.0,4.0,7.0,4.0,227.0,29.7,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Bernd Eckenfels,0.0,187.79157427937915,451,4,4460.952380952381,2810.9206349206347,63.5,22.349206349206348,2.961111111111105,1279.9444444444443,3.261904761904762,133.8015873015873,802.7936507936508,258.3174603174603,81.76984126984127,1279.9444444444443,2.6738095238095214,1256.0873015873017,10.325396825396826,4.968253968253968,13.531746031746032,3.9047619047619047,362.468253968254,20.39761904761905,126,3,18.22448979591837,2603.0,0.0,1.0,0.0,31.0,17.0,0.0,49.0,2.0,Excellent programming skills,0.9006647723487679
Bertrand Delacretaz,0.0,149.5625680087051,2757,2,4302.5,2733.333333333333,186.0,41.0,5.8,1916.6666666666667,4.0,446.8333333333333,731.8333333333334,665.0,69.0,1916.6666666666667,3.65,1871.6666666666667,38.0,4.0,7.0,4.0,224.5,30.75,6,1,12.857142857142858,366.0,0.0,2.0,0.0,5.0,0.0,0.0,7.0,1.0,Excellent programming skills,0.9551698306766678
Bill Speirs,0.0,218.50632911392404,79,2,768.5,307.34615384615387,53.73076923076923,15.615384615384617,27.188461538461542,260.4230769230769,0.0,28.384615384615383,150.6153846153846,72.03846153846153,9.384615384615383,260.4230769230769,4.646153846153845,255.57692307692307,4.846153846153846,4.0,0.0,1.0,52.15384615384615,32.150000000000006,26,1,36.833333333333336,296.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,1.0,Excellent programming skills,0.9551698306766678
Bob McWhirter,0.0,309.0731707317073,164,3,2016.8490566037733,1420.339622641509,60.264150943396224,49.09433962264151,12.347169811320752,1027.2075471698113,3.7547169811320753,47.943396226415096,510.6981132075472,459.811320754717,5.0,1027.2075471698113,4.5584905660377375,1016.6792452830188,4.2075471698113205,1.8679245283018868,6.320754716981132,3.943396226415094,207.9433962264151,26.247169811320763,53,3,15.688524590163937,7564.0,2.0,5.0,0.0,75.0,40.0,0.2540983606557377,122.0,1.0,Excellent programming skills,0.9006647723487679
Brent Worden,0.0,179.51785714285714,56,3,8211.181818181818,4751.909090909091,392.77272727272725,89.9090909090909,6.572727272727275,3012.318181818182,33.5,766.3181818181819,1264.5,903.7727272727273,44.22727272727273,3012.318181818182,3.313636363636364,2877.8636363636365,122.95454545454544,4.863636363636363,11.5,4.0,411.2272727272728,30.009090909090904,22,3,14.333333333333334,366.0,0.0,0.0,1.0,5.0,3.0,0.0,9.0,1.0,Excellent programming skills,0.9551698306766678
Brett Leslie Porter,0.0,185.0,3,2,4100.333333333333,2644.333333333333,177.33333333333334,48.66666666666666,10.466666666666669,1693.0,3.0,343.3333333333333,767.6666666666666,563.6666666666666,15.333333333333334,1693.0,3.033333333333333,1665.3333333333333,20.666666666666668,2.333333333333333,7.0,4.0,181.66666666666663,23.166666666666668,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Brett Porter,0.0,167.76649874055417,3970,7,2378.9355992844366,1584.0,121.40608228980322,22.95169946332737,9.816279069767452,1215.391771019678,1.3237924865831845,78.54561717352415,553.1574239713775,492.520572450805,89.84436493738819,1215.391771019678,3.631305903398927,1197.7227191413238,9.536672629695886,2.4364937388193204,8.132379248658319,3.273703041144901,257.9928443649374,18.662969588551025,559,7,19.07493368700265,95900.0,2.0,76.0,6.0,684.0,740.0,0.1611405835543766,1508.0,3.0,Excellent programming skills,0.9689975625798763
Brock Noland,0.0,170.87698986975397,2073,1,103665.3846153846,85216.17482517482,5418.454545454545,744.6083916083916,19.67412587412586,42319.96503496503,257.54545454545456,1904.2797202797203,15784.20979020979,23322.265734265733,1051.6643356643356,42319.96503496503,3.245454545454548,40741.12587412587,813.3146853146853,5.0,765.5244755244755,4.0,2699.055944055944,9.729370629370605,143,1,29.276240846216435,181553.0,34.0,116.0,2.0,1427.0,879.0,0.0516680227827502,2458.0,1.0,Extremely bad programming skills,0.17516783439468797
Bruno D'Avonzo,0.0,304.4,15,1,1930.8333333333333,1666.1666666666667,77.66666666666667,42.833333333333336,11.2,1448.0,0.1666666666666666,202.5,750.8333333333334,491.0,3.5,1448.0,4.5,1320.3333333333333,2.0,4.0,125.66666666666669,4.0,154.33333333333334,55.083333333333336,6,1,4.352941176470588,1151.0,0.0,0.0,0.0,3.0,14.0,0.0,17.0,1.0,Excellent programming skills,0.9551698306766678
Bruno P. Kinoshita,-12.0,59.58289473684211,760,12,6696.555555555556,4152.055555555556,323.1111111111111,78.05555555555556,7.627777777777778,2902.055555555556,33.388888888888886,367.27777777777777,1163.8333333333333,1231.5555555555557,106.0,2902.055555555556,3.4388888888888887,2771.555555555556,89.33333333333333,4.277777777777778,41.16666666666666,3.6666666666666665,392.1111111111111,26.522222222222226,18,8,6.0,197.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,Excellent programming skills,0.9689975625798763
Camille Fournier,0.0,192.44745762711864,295,1,9459.0,8452.2,313.8,100.0,5.48,4789.2,17.4,518.4,2072.4,2112.6,68.4,4789.2,3.1,4331.6,32.2,5.0,425.4,4.0,448.6,13.2,5,1,20.53846153846154,773.0,0.0,0.0,0.0,3.0,10.0,0.0,13.0,1.0,Excellent programming skills,0.9006647723487679
Carl Franklin Hall,0.0,246.7230769230769,65,1,1069.9,365.2,53.8,12.8,15.450000000000005,312.4,0.0,30.4,187.2,77.8,17.0,312.4,3.99,309.4,3.0,4.0,0.0,1.0,66.2,33.43,10,1,57.71428571428572,313.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,1.0,Excellent programming skills,0.9551698306766678
Carl Steinbach,0.0,266.7732742241925,1579,1,53802.13218390805,46460.28735632184,2505.022988505747,271.0632183908046,16.075862068965503,22310.379310344822,189.2816091954023,1069.1379310344828,8406.270114942528,12153.172413793103,492.5172413793104,22310.379310344822,3.322988505747123,21370.591954022988,522.6954022988506,5.0,417.0919540229885,4.0,1407.2988505747126,10.44540229885058,174,1,15.09553158705701,43175.0,11.0,41.0,1.0,287.0,309.0,0.0215716486902927,649.0,1.0,Excellent programming skills,0.9006647723487679
Carlos Sanchez Gonzalez,0.0,146.1809523809524,105,1,3584.274509803922,1713.9803921568628,196.2745098039216,24.274509803921568,8.099999999999998,2106.9803921568628,0.4117647058823529,102.0,779.6274509803922,1054.156862745098,170.7843137254902,2106.9803921568628,3.2745098039215685,2057.058823529412,34.98039215686274,3.6666666666666665,14.941176470588236,3.7058823529411766,341.078431372549,16.95294117647059,51,1,19.5,296.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,1.0,Excellent programming skills,0.9006647723487679
Carsten Ziegeler,0.0,153.69217682820045,39971,2,4297.0,4985.0,112.0,45.0,7.7,2102.0,26.0,158.0,1060.0,792.0,66.0,2102.0,3.9,2057.0,20.0,5.0,25.0,4.0,210.0,31.6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9689975625798763
Chas Honton,0.0,186.20103092783503,1358,1,7747.391304347826,5352.695652173913,796.1739130434783,188.65217391304347,35.269565217391296,3934.1739130434794,24.91304347826087,179.7826086956522,1713.8695652173913,1862.782608695652,152.82608695652175,3934.1739130434794,5.373913043478263,3764.1739130434794,63.52173913043478,4.0,106.47826086956522,4.0,467.7826086956522,23.034782608695664,23,1,11.47222222222222,5265.0,0.0,1.0,7.0,12.0,52.0,0.0,72.0,1.0,Excellent programming skills,0.9689975625798763
Chris Nauroth,0.0,204.3720930232558,86,1,9708.066666666668,8614.8,313.26666666666665,100.6,4.9,4831.133333333333,18.0,521.8666666666667,2120.866666666667,2099.6666666666665,70.73333333333333,4831.133333333333,3.100000000000001,4354.466666666666,32.2,5.0,444.4666666666666,4.0,468.73333333333335,13.286666666666664,15,1,2.0,165.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,Excellent programming skills,0.9006647723487679
Christian Grobmeier,0.0,190.1449704142012,338,3,3238.122807017544,3009.0175438596493,69.96491228070175,31.59649122807017,4.449122807017547,1051.7543859649122,38.89473684210526,59.10526315789474,639.3157894736842,305.49122807017545,8.947368421052632,1051.7543859649122,3.601754385964911,1005.9473684210526,30.29824561403509,4.771929824561403,15.508771929824562,4.0,219.35087719298247,17.329824561403505,57,3,30.16747572815534,29336.0,2.0,17.0,4.0,277.0,112.0,0.058252427184466,412.0,2.0,Excellent programming skills,0.9006647723487679
Conor MacNeill,0.0,146.24778761061947,339,1,6550.666666666667,4741.666666666667,854.3333333333334,209.0,59.0,3724.3333333333335,32.0,205.33333333333331,1566.6666666666667,1857.0,63.333333333333336,3724.3333333333335,6.5,3589.0,70.33333333333333,5.0,65.0,4.0,375.6666666666667,33.166666666666664,3,1,41.42857142857143,311.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0,Excellent programming skills,0.9689975625798763
Costin Manolache,0.0,185.0,1,1,3668.0,2609.0,116.0,23.0,6.8,1696.0,3.0,261.0,643.0,772.0,17.0,1696.0,3.0,1673.0,17.0,5.0,6.0,4.0,132.0,24.3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Craig R. McClanahan,0.0,461.2191011235955,712,7,910.746153846154,975.2807692307692,133.7153846153846,23.0,26.868076923076902,951.0,95.58076923076923,231.23846153846156,214.88846153846157,399.05,10.242307692307692,951.0,6.562307692307691,947.0115384615384,1.6807692307692308,1.9807692307692308,2.3076923076923075,1.573076923076923,47.761538461538464,29.166538461538444,260,7,18.315372424722664,37393.0,12.0,30.0,16.0,275.0,298.0,0.0126782884310618,631.0,4.0,Excellent programming skills,0.9689975625798763
Dain Sundstrom,0.0,290.46153846153845,26,1,2527.818181818182,1700.4545454545455,188.0,79.72727272727273,80.38181818181819,1505.1818181818182,12.0,180.0909090909091,493.9090909090909,783.8181818181819,35.36363636363637,1505.1818181818182,3.9909090909090903,1449.090909090909,17.90909090909091,5.0,38.18181818181818,4.0,84.0909090909091,23.590909090909086,11,1,24.5,223.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,Excellent programming skills,0.9689975625798763
Daniel Fabulich,0.0,167.2246376811594,138,1,525.6923076923077,252.4923076923077,43.43076923076923,22.307692307692307,47.97999999999999,232.07692307692307,1.0,30.476923076923075,114.95384615384616,79.64615384615385,6.0,232.07692307692307,4.536923076923074,225.6,6.476923076923077,4.0,0.0,1.0,42.47692307692308,30.93076923076923,65,1,13.285714285714286,775.0,0.0,1.0,0.0,7.0,6.0,0.0,14.0,1.0,Excellent programming skills,0.9689975625798763
Daniel Rall,0.0,311.8333333333333,6,3,6162.666666666667,3720.0,302.8333333333333,114.33333333333331,16.816666666666666,2544.0,8.333333333333334,398.0,969.6666666666666,1112.6666666666667,55.333333333333336,2544.0,3.8666666666666663,2462.0,56.833333333333336,4.166666666666667,25.166666666666668,3.5,362.6666666666667,29.866666666666664,6,3,20.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,Excellent programming skills,0.9551698306766678
Daniel Savarese,0.0,657.4827586206897,493,2,2266.414634146341,1892.1341463414635,82.10975609756098,44.68292682926829,10.60487804878049,1528.658536585366,0.8048780487804879,200.9878048780488,792.4634146341464,523.4634146341464,10.939024390243905,1528.658536585366,4.34268292682927,1401.6463414634147,2.207317073170732,4.0,124.8048780487805,4.0,183.21951219512195,47.92317073170734,82,2,14.123893805309734,7213.0,0.0,7.0,2.0,64.0,40.0,0.0,113.0,1.0,Excellent programming skills,0.9006647723487679
Davanum Srinivas,0.0,215.14754098360652,61,2,10161.0,6236.0,378.0,128.0,11.8,4138.0,9.0,881.0,1883.0,1331.0,34.0,4138.0,3.3,4063.0,60.0,5.0,15.0,4.0,463.0,29.4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
David Brosius,0.0,158.66493313521545,1346,7,6929.78672985782,4980.109004739336,754.4075829383886,203.53554502369667,53.742180094786704,3770.663507109005,37.459715639810426,219.1516587677725,1621.909952606635,1807.0805687203792,85.06161137440758,3770.663507109005,5.806161137440754,3625.5829383886257,63.7345971563981,4.748815165876778,81.34597156398104,3.981042654028436,401.6398104265403,24.846445497630256,211,7,13.96629213483146,11521.0,2.0,25.0,1.0,85.0,65.0,0.0337078651685393,178.0,5.0,Excellent programming skills,0.9689975625798763
David Dixon-Peugh,0.0,239.625,8,1,6335.0,4607.0,828.3333333333334,202.33333333333331,47.43333333333334,3594.333333333333,34.0,166.0,1517.0,1827.3333333333333,50.0,3594.333333333333,6.7,3467.333333333333,70.0,5.0,57.0,4.0,368.0,48.29999999999999,3,1,12.8,814.0,0.0,2.0,0.0,8.0,5.0,0.0,15.0,1.0,Excellent programming skills,0.9689975625798763
David Eric Pugh,0.0,188.69665271966528,478,3,1129.3727272727272,758.4636363636364,17.727272727272727,3.9909090909090903,2.207272727272728,360.6545454545454,18.509090909090908,36.88181818181818,144.78181818181818,157.76363636363635,2.7181818181818183,360.6545454545454,2.8045454545454533,351.04545454545456,7.209090909090909,4.736363636363636,2.4,3.4909090909090907,62.054545454545455,31.004545454545475,110,3,19.06425702811245,15178.0,6.0,26.0,1.0,106.0,110.0,0.0,249.0,1.0,Excellent programming skills,0.9551698306766678
David Graham,0.0,216.56091370558372,788,3,782.9763513513514,482.9391891891892,112.46283783783784,18.195945945945947,22.857432432432404,371.92905405405406,0.5878378378378378,36.7027027027027,173.17567567567568,132.0439189189189,29.41891891891892,371.92905405405406,5.414527027027029,357.7466216216216,8.95608108108108,4.0,5.226351351351352,2.6655405405405403,44.49324324324324,28.997297297297305,296,3,19.53409090909091,14624.0,1.0,30.0,18.0,129.0,86.0,0.1022727272727272,264.0,3.0,Excellent programming skills,0.9689975625798763
David Winterfeldt,0.0,212.19847328244276,131,1,551.1052631578947,578.8947368421053,20.26315789473684,5.7368421052631575,4.873684210526317,242.55263157894737,0.0,32.71052631578947,127.52631578947368,82.3157894736842,0.0,242.55263157894737,4.818421052631579,226.2894736842105,4.684210526315789,3.9210526315789473,11.578947368421051,3.9210526315789473,23.473684210526315,24.55789473684211,38,1,17.264044943820224,11193.0,0.0,22.0,6.0,93.0,57.0,0.1292134831460674,178.0,1.0,Excellent programming skills,0.9006647723487679
Dennis Kieselhorst,0.0,195.6875,32,1,8187.285714285715,3516.285714285714,54.0,21.0,1.7071428571428569,1735.357142857143,1.0,165.0,793.7142857142857,771.2857142857143,4.357142857142857,1735.357142857143,2.0,1712.357142857143,14.0,4.0,9.0,4.0,446.2857142857143,27.821428571428573,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Dennis Lundberg,0.0,178.51923076923077,104,17,2984.794117647059,2189.073529411765,166.86764705882354,46.86764705882353,31.26029411764707,1452.1911764705883,22.764705882352946,210.91176470588235,587.1029411764706,609.0294117647059,22.38235294117647,1452.1911764705883,4.360294117647058,1412.8382352941176,21.0,3.764705882352941,18.352941176470587,3.426470588235294,159.38235294117646,26.398529411764716,68,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9689975625798763
Dhruba Borthakur,0.0,226.3676148796499,1371,1,12528.70588235294,11759.382352941177,1278.6176470588234,68.1470588235294,21.644117647058817,7906.14705882353,75.1470588235294,317.88235294117646,3278.529411764706,4005.441176470588,229.14705882352945,7906.14705882353,4.994117647058824,7264.735294117647,230.8823529411765,5.0,410.52941176470586,4.0,431.0882352941176,7.373529411764704,34,1,20.24548736462094,37422.0,2.0,41.0,1.0,290.0,220.0,0.0162454873646209,554.0,1.0,Excellent programming skills,0.9006647723487679
Dion Gillard,0.0,154.53461875547765,4564,16,3810.3366666666666,3191.409166666667,94.1825,38.98,7.635499999999994,1798.4741666666666,21.48333333333333,81.32583333333334,947.4633333333334,730.7816666666666,17.42,1798.4741666666666,5.460916666666599,1735.6816666666666,49.344166666666666,3.93,13.448333333333334,3.925,327.26166666666666,22.003333333333487,1200,16,24.567116759332805,83752.0,7.0,66.0,5.0,800.0,381.0,0.1096108022239873,1259.0,3.0,Excellent programming skills,0.9689975625798763
Dipanjan Laha,0.0,241.28571428571428,7,1,10101.0,5627.0,463.0,122.0,6.8,3212.0,15.0,900.0,1520.0,763.0,14.0,3212.0,3.1,3039.0,168.0,5.0,5.0,4.0,492.0,29.4,2,1,35.333333333333336,287.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,1.0,Excellent programming skills,0.9551698306766678
Dirk Verbeeck,0.0,157.41001926782275,2595,17,2062.051282051282,1294.003205128205,172.96794871794873,48.65384615384615,45.95224358974362,1092.0416666666667,12.69551282051282,123.08653846153848,393.21153846153845,535.0512820512821,27.996794871794872,1092.0416666666667,4.40128205128204,1051.2147435897436,17.903846153846153,4.285256410256411,22.923076923076923,3.891025641025641,82.54807692307692,22.318910256410263,312,17,18.37628865979381,9851.0,4.0,20.0,4.0,91.0,75.0,0.0,194.0,2.0,Excellent programming skills,0.9689975625798763
Dmitri Plotnikov,0.0,168.5799886941775,1769,1,5826.017699115044,5842.424778761062,217.96902654867256,20.61946902654867,3.27123893805309,2734.1106194690265,9.070796460176991,75.82743362831859,876.4734513274336,1763.58407079646,9.154867256637168,2734.1106194690265,4.85575221238938,2651.6283185840707,48.743362831858406,4.0,33.73893805309734,4.0,154.60619469026548,12.2146017699115,226,1,14.55663430420712,58547.0,1.0,63.0,7.0,501.0,355.0,0.0226537216828478,927.0,1.0,Excellent programming skills,0.9006647723487679
Donald J. Brown,0.0,252.12,75,2,974.217391304348,638.6086956521739,160.0,10.217391304347826,11.5,363.5217391304348,0.0,38.17391304347826,180.08695652173913,130.95652173913044,14.304347826086955,363.5217391304348,4.926086956521741,343.39130434782606,14.391304347826088,4.0,5.739130434782608,2.9130434782608696,52.52173913043478,29.40869565217391,23,2,27.8,800.0,0.0,0.0,0.0,8.0,7.0,0.0,15.0,1.0,Excellent programming skills,0.9551698306766678
Duncan Jones,0.0,156.0,2,1,853.0,530.0,35.0,9.0,5.8,477.0,0.0,46.0,283.0,128.0,20.0,477.0,4.0,474.0,1.0,4.0,2.0,4.0,47.0,21.6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
Edward Capriolo,0.0,220.2247191011236,534,1,73455.38,61417.78,3535.56,381.4,16.5,30248.46,208.18,1372.14,11010.84,16961.1,696.2,30248.46,3.2500000000000027,29069.22,638.5,5.0,540.74,4.0,1862.94,10.04,50,1,52.48509090909091,114128.0,9.0,64.0,0.0,741.0,561.0,0.112,1375.0,1.0,Extremely bad programming skills,0.17516783439468797
Edwin L. Punzalan,0.0,198.5078369905956,957,1,1208.188571428571,921.7771428571428,83.92,12.674285714285714,12.192000000000013,661.9828571428571,0.1142857142857142,43.92,309.33142857142855,250.69142857142856,57.925714285714285,661.9828571428571,3.130285714285714,649.9371428571428,4.0,1.68,8.045714285714286,3.2285714285714286,131.94857142857143,17.31657142857141,175,1,18.709371293001187,51571.0,1.0,66.0,0.0,408.0,368.0,0.0023724792408066,843.0,1.0,Excellent programming skills,0.9006647723487679
Eitan Adler,7.0,51.0,2,1,2371.0,1530.0,241.0,42.0,7.1,1392.0,0.0,78.0,575.0,693.0,46.0,1392.0,2.9,1185.0,164.0,4.0,43.0,3.0,188.0,33.0,1,1,90.0,24.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,Excellent programming skills,0.9006647723487679
Elijah Zupancic,0.0,204.5,2,1,2953.0,1731.0,318.0,94.0,22.4,1228.0,28.0,85.0,637.0,472.0,6.0,1228.0,4.3,1197.0,20.0,5.0,11.0,4.0,319.0,30.5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Excellent programming skills,0.9551698306766678
